male,black,hisp,other,age,mj30,year,one_bio_other_parent,one_bio_parent,othersit
1,0,0,0,19,1,2000,1,0,0
1,0,0,0,20,1,2000,0,0,1
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,1,2001,0,0,0
0,0,0,0,19,1,2001,0,1,0
0,0,0,0,16,0,2000,0,0,0
1,0,0,0,18,0,2000,0,1,0
0,0,0,0,16,1,2000,0,1,0
0,0,0,0,18,1,2001,0,1,0
1,0,0,0,18,1,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,17,1,2000,0,0,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,20,0,2001,0,0,1
1,0,0,0,19,0,2000,0,0,1
1,0,0,1,16,0,2000,0,0,1
0,0,0,0,18,1,2001,0,1,0
0,0,0,0,17,1,2000,0,0,0
1,0,0,0,19,1,2000,0,0,0
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,17,0,2001,0,0,0
1,0,0,0,18,0,2000,0,0,1
0,0,0,0,20,0,2000,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,1,0,15,0,2000,0,0,0
0,0,0,0,19,1,2001,0,0,0
0,0,0,0,17,1,2000,0,0,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,19,1,2000,0,0,0
1,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,0,2000,0,0,0
1,0,0,0,19,1,2000,1,0,0
1,0,0,0,16,0,2000,0,1,0
1,0,0,0,18,1,2000,0,1,0
1,0,0,0,17,0,2000,0,0,1
1,0,0,0,20,0,2001,0,0,1
1,0,0,0,16,0,2001,0,0,1
0,0,0,0,20,0,2001,0,1,0
1,0,0,0,18,1,2001,0,0,0
0,0,0,0,20,1,2001,0,0,0
1,0,0,0,16,1,2000,0,0,0
0,0,0,0,18,1,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,0,16,1,2000,0,1,0
1,0,0,0,17,0,2000,0,0,1
1,0,0,0,17,0,2001,0,0,1
0,0,1,0,17,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,1
1,0,0,0,16,0,2000,0,1,0
1,0,0,0,20,0,2001,0,0,0
1,0,0,0,16,0,2000,0,1,0
0,0,0,0,19,0,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,20,1,2001,0,0,1
0,0,0,1,20,0,2001,0,0,1
0,0,0,1,20,0,2001,0,0,1
1,0,0,1,18,0,2001,0,0,1
1,0,1,0,20,0,2001,0,0,0
0,0,0,0,18,0,2000,0,0,1
0,0,0,0,17,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
0,0,1,0,18,1,2000,0,0,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,19,1,2000,0,1,0
1,0,0,0,16,0,2000,0,1,0
1,0,0,0,19,0,2000,0,1,0
1,0,0,0,18,0,2000,0,1,0
1,0,0,0,20,1,2001,0,0,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,20,1,2000,0,1,0
1,0,0,0,17,0,2000,0,1,0
0,0,0,0,18,1,2000,1,0,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,19,0,2001,1,0,0
1,0,0,0,16,0,2001,0,1,0
0,0,0,0,19,1,2000,0,0,0
0,0,0,0,19,1,2001,0,0,0
1,0,0,0,18,0,2000,0,1,0
1,0,1,0,16,1,2001,0,1,0
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
0,0,1,0,20,0,2001,0,1,0
1,0,1,0,18,1,2001,0,1,0
1,0,0,0,17,0,2000,0,0,1
0,0,1,0,16,1,2001,0,0,0
1,1,0,0,20,0,2001,0,1,0
1,1,0,0,16,0,2001,0,1,0
0,1,0,0,18,1,2000,0,0,1
0,1,0,0,20,0,2001,0,0,1
1,0,1,0,16,0,2000,0,0,0
0,0,0,1,19,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,1
1,0,0,0,18,1,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,20,0,2001,0,0,1
1,0,0,0,19,0,2000,0,1,0
0,0,0,0,20,0,2001,0,1,0
1,0,0,0,19,1,2001,0,1,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,19,1,2001,0,0,0
0,0,0,0,16,0,2000,0,1,0
0,0,0,0,16,0,2000,0,1,0
1,1,0,0,20,0,2001,0,0,0
1,1,0,0,17,0,2001,0,0,1
1,1,0,0,18,0,2001,0,1,0
1,1,0,0,17,0,2001,0,1,0
0,0,0,0,21,0,2001,0,1,0
1,0,0,0,19,1,2001,0,1,0
0,0,0,0,16,0,2000,0,0,1
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,0,2001,0,0,0
0,0,0,0,17,0,2000,0,0,0
1,0,0,0,19,1,2000,0,0,0
1,0,0,0,18,1,2000,0,0,0
1,0,0,0,16,1,2000,0,0,0
1,0,0,0,18,0,2000,0,0,1
1,1,0,0,18,1,2000,0,0,0
0,1,0,0,17,1,2001,0,0,0
0,0,0,0,20,0,2001,0,1,0
1,0,0,0,18,0,2001,0,1,0
0,0,0,0,21,0,2001,0,1,0
0,0,0,0,18,1,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2000,0,1,0
0,0,0,0,18,0,2000,0,1,0
1,0,0,0,17,1,2001,0,0,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,18,1,2001,0,1,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,17,0,2001,0,1,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,18,0,2001,0,1,0
1,0,0,0,16,0,2001,0,1,0
1,0,0,0,19,1,2001,0,1,0
0,0,0,0,17,0,2001,0,0,1
0,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,19,1,2000,0,0,0
0,0,0,0,16,1,2001,0,0,0
0,0,0,0,17,0,2000,0,0,0
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,18,0,2000,0,0,0
0,0,0,0,15,0,2000,0,0,0
1,0,0,0,20,1,2001,0,1,0
0,0,0,0,19,0,2001,0,0,0
0,0,1,0,20,0,2000,0,0,1
0,0,1,0,16,0,2001,0,0,0
1,1,0,0,18,0,2001,0,0,1
1,1,0,0,16,0,2001,0,0,1
0,1,0,0,21,,2001,1,0,0
1,1,0,0,17,1,2001,0,1,0
1,1,0,0,17,0,2001,0,1,0
0,1,0,0,17,0,2000,0,0,0
1,0,0,0,16,1,2001,0,0,0
0,0,1,0,19,0,2000,0,0,0
0,0,0,0,18,1,2001,0,1,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,19,0,2000,0,1,0
1,0,0,0,19,0,2001,1,0,0
1,0,0,0,18,0,2001,1,0,0
1,0,0,0,16,0,2001,0,1,0
1,0,0,1,20,0,2000,0,0,1
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,20,1,2001,0,1,0
1,0,0,0,17,0,2000,0,1,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,1,0,19,0,2000,0,0,0
1,1,0,0,20,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,20,1,2001,0,1,0
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,18,1,2001,0,1,0
1,1,0,0,19,0,2001,0,1,0
0,1,0,0,18,1,2001,0,0,1
0,1,0,0,17,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
1,0,0,0,18,0,2001,0,0,1
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2000,0,0,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,18,1,2000,0,0,0
0,0,0,0,18,1,2000,0,0,0
0,0,0,0,18,1,2000,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,20,1,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,1,2000,0,0,0
1,0,0,0,18,0,2000,0,0,0
1,0,0,0,19,0,2000,0,1,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,19,0,2000,0,0,0
1,0,1,0,20,0,2000,0,0,1
0,0,0,1,21,1,2001,0,0,0
1,0,0,0,17,1,2000,0,1,0
1,1,1,0,19,0,2001,0,0,1
0,0,0,0,15,0,2000,0,0,0
1,0,0,0,20,1,2001,1,0,0
1,0,0,0,19,0,2000,1,0,0
1,0,0,0,20,0,2001,0,0,0
0,0,0,0,17,0,2001,0,0,0
1,0,0,0,20,0,2000,0,0,0
0,0,0,0,19,0,2000,0,0,1
0,0,0,0,20,0,2000,0,0,1
0,0,0,0,17,0,2000,0,1,0
1,0,0,0,20,1,2000,0,0,0
0,0,0,0,17,0,2000,0,0,0
1,0,0,0,21,0,2001,0,1,0
0,0,0,0,17,0,2001,0,1,0
0,0,0,0,17,1,2001,0,1,0
1,0,0,0,18,0,2001,0,0,0
0,1,0,0,20,1,2000,0,0,0
1,1,0,0,19,0,2000,0,0,0
0,0,1,0,16,1,2001,0,1,0
0,1,0,0,16,0,2000,0,1,0
0,0,0,0,18,1,2001,1,0,0
0,0,0,0,16,0,2001,0,1,0
1,0,0,0,20,0,2000,0,0,1
0,0,0,0,19,0,2000,0,1,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,18,1,2001,0,1,0
0,0,0,0,18,,2000,0,1,0
1,0,0,0,16,0,2000,0,1,0
0,0,1,0,18,0,2000,1,0,0
1,0,1,0,17,0,2000,1,0,0
0,0,0,0,18,1,2001,0,1,0
0,0,0,0,17,0,2001,0,1,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,0,18,1,2000,0,0,0
0,0,0,0,19,0,2000,0,0,0
1,0,0,0,16,1,2001,0,0,0
0,0,0,0,21,0,2001,0,0,0
0,0,0,0,18,0,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,0,16,0,2001,0,0,1
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,1
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,18,1,2000,0,0,1
0,0,0,0,16,1,2000,0,1,0
0,0,1,0,20,0,2001,0,0,0
0,0,0,0,17,1,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,1,18,0,2000,0,0,1
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,21,0,2001,0,1,0
1,0,0,0,18,0,2001,0,0,1
0,0,0,0,16,,2001,0,0,1
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
0,0,0,0,16,1,2000,0,0,0
0,0,0,0,18,0,2000,0,1,0
0,0,0,0,16,0,2000,0,1,0
0,0,0,0,20,1,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,17,1,2001,0,1,0
1,0,0,0,20,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,17,0,2001,0,0,0
0,0,1,0,17,0,2001,0,1,0
1,0,0,0,20,1,2000,0,0,1
0,0,0,0,16,0,2000,0,0,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,1,2000,0,1,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,20,0,2000,0,1,0
0,0,0,0,17,0,2000,0,1,0
1,0,0,0,20,0,2001,0,0,0
0,0,0,0,19,0,2000,0,0,0
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,0,19,1,2001,1,0,0
1,0,0,0,16,0,2001,0,1,0
0,0,0,0,19,0,2001,0,1,0
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,20,1,2001,0,1,0
0,0,0,0,16,0,2000,0,1,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,0,2000,0,1,0
0,0,0,0,19,0,2001,0,0,0
0,0,0,0,20,0,2001,0,1,0
1,0,0,0,20,1,2000,0,0,0
0,0,0,0,18,0,2000,0,0,0
1,0,0,0,19,1,2001,0,0,1
1,0,0,0,17,1,2001,0,0,1
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,17,0,2000,0,1,0
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,20,0,2000,0,0,1
0,0,0,0,17,0,2000,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,19,0,2000,0,1,0
1,0,0,0,15,0,2000,0,1,0
0,0,0,0,20,0,2000,0,0,0
0,0,0,0,19,0,2000,0,0,0
0,0,0,0,19,0,2000,0,1,0
0,0,1,0,20,0,2000,0,0,0
0,0,0,0,16,0,2000,0,0,0
1,0,0,0,20,0,2001,0,0,0
0,0,0,0,17,0,2001,1,0,0
0,0,0,0,20,1,2000,0,0,0
1,0,0,0,17,1,2001,0,1,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,1,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,20,0,2000,0,1,0
1,0,0,0,18,0,2000,0,1,0
0,0,0,0,19,0,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
0,0,0,0,18,1,2001,0,1,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,18,0,2000,0,1,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,1,20,0,2001,0,0,1
0,0,0,0,17,0,2001,0,1,0
0,0,0,0,17,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,19,0,2001,0,1,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,20,1,2001,1,0,0
1,0,0,0,20,1,2001,0,0,0
1,0,0,0,17,0,2001,0,0,1
1,0,0,0,19,0,2000,0,0,1
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,19,0,2001,0,1,0
1,1,0,0,18,1,2001,0,0,0
1,0,0,0,17,1,2000,0,0,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,17,0,2000,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,19,1,2001,1,0,0
0,0,0,0,16,0,2001,0,1,0
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,19,0,2000,0,1,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,20,0,2001,0,0,1
0,0,0,0,19,0,2001,0,0,1
1,0,0,0,19,0,2001,0,0,1
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,18,0,2001,0,1,0
1,0,0,0,18,0,2001,0,1,0
1,0,0,0,16,0,2001,0,1,0
0,0,0,0,17,1,2000,0,0,1
0,0,0,0,20,1,2001,0,0,0
0,0,0,0,17,0,2000,0,1,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,0
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,20,0,2000,0,0,0
0,0,0,0,16,0,2000,0,0,0
1,0,0,0,19,0,2000,0,1,0
0,0,0,0,18,0,2001,0,1,0
1,0,0,0,18,0,2000,0,1,0
1,0,0,0,16,0,2000,0,0,0
0,0,0,1,16,1,2000,0,1,0
1,0,0,0,18,0,2001,0,1,0
1,0,0,0,16,0,2000,0,1,0
0,0,0,0,16,0,2001,0,1,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,17,1,2000,0,0,0
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,16,1,2000,0,0,1
0,0,0,0,19,1,2000,0,1,0
0,0,0,0,18,0,2000,0,1,0
1,0,0,0,19,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,21,1,2001,0,0,0
1,0,0,0,18,1,2000,1,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,1,19,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
1,0,0,0,17,1,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,0,2000,0,0,0
0,0,0,0,19,1,2001,0,0,0
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,18,0,2000,0,0,0
0,0,0,0,16,0,2000,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,19,1,2000,0,0,0
0,0,0,0,19,0,2000,0,0,0
1,1,0,0,17,0,2001,0,1,0
1,1,0,0,17,0,2001,0,1,0
0,0,0,0,18,0,2000,0,0,0
0,0,0,0,18,0,2001,1,0,0
0,0,0,0,17,0,2001,0,0,1
1,0,0,0,19,1,2000,0,1,0
1,0,0,0,18,0,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
0,0,0,0,18,0,2000,0,1,0
1,0,0,0,20,0,2001,1,0,0
1,0,0,0,19,0,2000,1,0,0
1,0,0,0,21,1,2001,0,1,0
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,21,0,2001,0,1,0
0,0,0,0,19,0,2000,0,0,0
0,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,1,2000,0,0,0
1,0,0,0,17,0,2000,0,1,0
1,0,0,0,20,0,2001,0,1,0
0,0,0,0,20,0,2000,0,0,0
1,0,0,0,19,1,2001,0,0,0
0,0,0,0,17,0,2001,0,0,0
0,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,17,0,2000,0,0,0
0,0,0,0,17,0,2001,0,1,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,16,0,2000,0,1,0
1,1,0,0,17,0,2001,0,1,0
0,1,0,0,20,0,2001,0,1,0
0,1,0,0,17,1,2001,0,0,1
1,1,0,0,16,0,2001,0,1,0
0,1,0,0,20,0,2001,0,1,0
1,1,0,0,18,1,2001,0,1,0
0,1,0,0,19,0,2001,0,0,1
0,1,0,0,16,0,2001,0,1,0
0,1,0,0,18,0,2001,0,1,0
0,0,0,1,19,0,2000,0,0,1
1,0,1,0,17,0,2000,0,0,0
1,0,0,0,16,0,2000,0,0,0
0,0,0,0,20,0,2000,0,0,1
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,18,0,2000,0,0,0
1,0,0,0,17,1,2000,0,0,0
1,0,0,0,18,0,2000,0,1,0
0,0,0,0,17,0,2000,0,0,0
1,0,1,0,16,0,2000,0,0,1
1,0,0,0,16,0,2000,0,0,1
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,18,0,2000,0,0,0
0,0,0,0,20,0,2000,0,1,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,19,0,2001,0,0,1
1,0,0,0,18,0,2000,0,0,0
1,0,0,0,18,0,2000,0,0,0
0,0,0,0,20,1,2000,0,0,0
0,0,0,0,16,0,2001,0,1,0
0,0,1,0,17,1,2000,0,1,0
1,0,0,0,20,1,2001,0,1,0
0,0,0,0,16,0,2001,1,0,0
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,19,0,2001,0,1,0
0,0,0,0,16,1,2001,0,0,1
1,0,0,0,19,0,2001,0,1,0
1,0,0,0,18,0,2001,0,1,0
0,0,0,1,18,0,2000,0,0,1
1,0,0,1,16,1,2000,0,0,1
1,0,0,0,17,1,2000,0,0,1
0,0,0,0,16,0,2000,0,1,0
1,0,0,0,20,0,2000,0,0,1
1,0,0,0,18,0,2001,0,0,1
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,18,1,2001,0,1,0
1,0,0,0,19,1,2001,0,0,0
0,0,0,0,16,1,2001,0,0,0
0,1,0,0,16,0,2000,0,0,1
1,0,0,0,17,1,2000,0,1,0
0,0,0,0,20,1,2001,0,1,0
0,0,0,0,18,1,2001,0,0,1
0,0,0,0,19,0,2000,0,0,0
0,0,0,0,20,0,2000,0,0,0
1,0,0,0,17,1,2001,0,0,1
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,0,19,0,2000,0,0,1
0,0,0,0,16,1,2001,0,1,0
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,20,0,2000,0,0,0
0,0,0,0,20,0,2001,0,0,1
0,0,0,0,18,0,2001,0,0,1
0,0,0,0,20,0,2001,0,1,0
1,0,0,0,17,0,2001,0,1,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
0,0,0,0,16,0,2000,0,0,0
0,0,0,0,17,0,2001,0,0,1
1,0,0,0,19,0,2001,0,0,1
1,0,0,0,19,0,2001,0,0,1
0,0,0,0,16,0,2001,0,0,1
0,0,0,0,19,0,2000,0,1,0
1,0,0,0,17,1,2001,0,0,1
1,1,0,0,20,0,2001,0,0,1
1,1,0,0,19,0,2001,0,0,1
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,17,0,2000,0,0,0
0,0,0,0,19,0,2000,0,0,0
0,0,0,0,18,0,2000,0,0,0
0,0,0,0,18,1,2000,1,0,0
0,0,0,0,19,1,2001,0,0,0
1,0,0,0,17,0,2001,0,0,0
1,0,0,0,17,0,2001,0,0,1
0,1,0,0,19,0,2000,0,0,1
1,1,0,0,17,0,2000,0,0,1
0,1,0,0,16,0,2000,0,1,0
0,0,0,0,19,0,2000,0,0,0
1,1,0,0,18,0,2000,0,1,0
1,1,0,0,20,0,2001,0,1,0
0,1,0,0,17,1,2001,0,1,0
0,1,0,0,16,0,2001,0,1,0
0,0,0,0,18,0,2001,0,0,0
0,0,0,0,17,0,2001,0,0,0
1,1,0,0,19,0,2001,0,1,0
0,1,0,0,17,0,2000,0,1,0
0,1,0,0,19,0,2000,0,0,0
1,1,0,0,18,0,2000,0,0,1
1,1,0,0,20,0,2001,0,1,0
0,1,0,0,20,0,2000,0,1,0
1,1,0,0,18,0,2000,0,0,1
0,1,0,0,16,0,2000,0,0,1
0,1,0,0,18,0,2000,0,0,1
0,1,0,0,18,0,2001,0,1,0
1,0,0,0,20,1,2001,1,0,0
1,1,0,0,18,0,2001,0,1,0
1,0,0,0,17,0,2001,0,0,0
0,0,0,0,16,0,2001,0,1,0
1,0,0,0,19,1,2001,0,1,0
0,1,0,0,18,0,2001,0,0,1
0,0,0,0,19,0,2001,0,1,0
0,0,0,0,17,0,2001,0,1,0
0,0,0,0,17,0,2000,0,0,1
0,0,0,0,19,1,2000,0,0,0
0,0,0,0,16,0,2001,0,1,0
1,0,0,0,18,1,2001,0,1,0
0,0,0,0,16,0,2001,0,1,0
0,0,0,0,20,0,2001,0,0,1
0,0,0,0,18,0,2001,0,1,0
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,16,1,2000,0,0,0
0,0,0,0,18,0,2000,0,0,1
1,0,0,0,17,1,2000,0,0,1
0,0,0,0,20,0,2001,0,1,0
0,0,0,0,17,0,2001,0,1,0
1,0,0,0,20,0,2001,0,1,0
0,0,0,0,18,0,2001,0,0,1
1,0,0,0,20,0,2001,0,0,1
0,0,0,0,18,0,2001,0,0,1
1,0,0,0,19,1,2001,0,0,1
1,0,0,0,17,0,2001,0,0,1
0,0,0,0,18,1,2001,0,0,1
0,0,0,0,16,1,2000,0,1,0
1,0,0,0,20,0,2001,0,1,0
1,0,0,0,16,0,2001,0,0,1
1,0,0,0,19,0,2001,0,0,1
0,0,0,0,20,0,2001,0,0,0
0,0,0,0,16,0,2000,0,0,1
1,0,0,0,19,0,2001,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,20,0,2000,0,0,0
1,0,0,0,19,1,2000,0,0,0
1,0,0,0,20,0,2001,0,1,0
1,0,0,0,20,1,2001,0,0,1
0,0,0,0,17,0,2000,0,0,1
1,0,0,1,19,0,2001,0,0,1
1,0,0,1,17,0,2000,0,0,1
1,0,0,0,17,1,2000,0,1,0
0,0,0,0,19,0,2000,0,1,0
1,1,0,0,16,0,2000,0,1,0
0,1,0,0,17,0,2000,1,0,0
1,0,0,0,16,0,2000,0,0,0
0,0,0,0,20,0,2001,0,0,0
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
0,0,0,0,20,0,2001,0,0,1
0,0,0,0,20,0,2000,0,1,0
1,0,0,1,18,0,2000,0,0,1
1,0,0,0,18,0,2001,0,0,0
1,0,0,0,17,0,2000,0,0,0
1,0,0,0,19,1,2000,0,0,0
1,0,0,0,19,0,2000,0,0,0
1,0,0,0,17,0,2001,0,1,0
0,0,0,0,17,0,2001,0,0,0
1,0,0,0,20,0,2001,0,0,0
0,0,0,0,17,0,2001,0,0,0
1,0,0,0,16,0,2001,0,0,0
1,0,0,0,20,1,2001,0,1,0
1,0,0,0,17,0,2000,0,1,0
0,0,0,0,17,0,2001,0,1,0
1,1,0,0,20,0,2001,0,1,0
1,0,0,0,20,1,2000,1,0,0
0,0,0,0,17,0,2001,1,0,0
0,0,0,0,17,0,2001,1,0,0
0,0,0,0,19,0,2000,0,0,0
1,1,0,0,20,0,2001,0,0,0
1,0,0,0,19,0,2001,1,0,0
